arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
4p	16p	5	0	6	4	-0.383328639551506	0
4p	19q	5	1	0	0	NA	0
5p	19p	5	0	4	5	0.432959407276106	0
7p	17p	5	0	85	103	0.391508963782603	0
7p	19q	5	0	4	0	-3.32192809488736	0
7q	16p	5	0	15	18	0.37851162325373	0
9p	17p	5	2	22	22	0.137503523749935	2
9q	20q	5	1	10	25	1.37851162325373	1
10p	11p	5	0	2	5	1.37851162325373	0
10p	21q	5	0	0	0	NA	0
16q	18p	5	0	2	0	-3.32192809488736	0
17p	18q	5	0	3	2	-0.383328639551506	0
17q	21p	5	1	13	10	-0.202188850613267	1
18q	Xp	5	0	0	0	NA	0
1p	21p	4	0	6	10	0.821029858954681	0
2p	18p	4	0	13	4	-1.29444735846526	0
3p	18p	4	0	12	8	-0.383328639551506	0
4p	9p	4	0	1	2	1.0703893278914	0
4p	Xq	4	0	2	4	1.0703893278914	0
5p	18q	4	0	0	0	NA	0
5p	20p	4	0	4	6	0.678071905112638	0
5q	18p	4	0	4	6	0.678071905112638	0
7p	18p	4	0	6	2	-1.20645087746743	0
7q	17p	4	0	29	42	0.630662544726213	0
7q	18p	4	0	20	38	1	0
9p	18p	4	0	1	3	1.63226821549951	0
9p	21q	4	0	0	0	NA	0
9q	16p	4	0	10	8	-0.15200309344505	0
9q	17p	4	0	10	29	1.58496250072116	0
9q	20p	4	0	41	44	0.230412984264596	0
10p	17p	4	0	1	2	1.0703893278914	0
11q	21p	4	0	4	6	0.678071905112638	0
12p	19p	4	0	4	2	-0.736965594166206	0
12p	Xp	4	0	0	0	NA	0
12q	21p	4	0	4	2	-0.736965594166206	0
16p	Xp	4	0	4	2	-0.736965594166206	0
16q	18q	4	0	0	0	NA	0
17p	Xq	4	0	1	2	1.0703893278914	0
18p	20q	4	1	1	9	3.18586654531133	1
18p	22q	4	0	1	2	1.0703893278914	0
19p	Xp	4	0	2	0	-3.32192809488736	0
19q	Xp	4	0	1	2	1.0703893278914	0
20p	Xp	4	0	3	0	-3.32192809488736	0
22q	Xp	4	0	0	0	NA	0
4p	5p	3	0	4	2	-0.736965594166206	0
5p	17p	3	0	2	4	1.0703893278914	0
5p	18p	3	0	2	2	0.137503523749935	0
5q	17p	3	0	2	2	0.137503523749935	0
8p	21p	3	0	14	15	0.228268987673117	0
9p	20p	3	0	9	28	1.683072586171	0
10p	19q	3	0	0	0	NA	0
12q	18p	3	0	1	4	2.03562390973072	0
14q	21p	3	0	0	0	NA	0
15q	18p	3	0	9	12	0.519374159093579	0
16p	Xq	3	0	0	0	NA	0
16q	19q	3	0	6	8	0.519374159093579	0
17p	18p	3	0	0	0	NA	0
18p	19p	3	0	1	3	1.63226821549951	0
18p	20p	3	0	2	0	-3.32192809488736	0
18p	Xq	3	0	1	2	1.0703893278914	0
19q	21p	3	0	54	51	0.0627357553479627	0
1q	21p	2	0	100	130	0.485426827170242	0
4p	17p	2	0	6	10	0.821029858954681	0
4p	18p	2	0	5	8	0.765534746362977	0
8q	21p	2	0	2	8	2.03562390973072	0
9p	22q	2	0	0	0	NA	0
15q	21p	2	0	16	16	0.137503523749935	0
20p	21p	2	0	2	6	1.63226821549951	0
20p	Xq	2	0	4	0	-3.32192809488736	0
20q	21p	2	0	115	133	0.329435631556304	0
21p	Xp	2	0	0	0	NA	0
2p	Yp	1	0	0	0	NA	0
2q	21p	1	0	19	38	1.0703893278914	0
3p	21p	1	0	49	55	0.289774253786215	0
9p	21p	1	0	13	19	0.642968104156722	0
12p	17p	1	0	1	2	1.0703893278914	0
13q	Yq	1	0	0	0	NA	0
16p	18p	1	0	1	8	3.01792190799726	0
16p	21p	1	0	4	0	-3.32192809488736	0
16q	21p	1	0	6	4	-0.383328639551506	0
18p	21p	1	0	4	2	-0.736965594166206	0
19p	21p	1	0	15	11	-0.263034405833794	0
21p	22q	1	0	13	9	-0.335867285845236	0
21p	Xq	1	0	1	2	1.0703893278914	0
22q	Yq	1	0	0	0	NA	0
Xq	Yq	1	0	0	0	NA	0
1p	13p	0	0	14	24	0.859401669827199	0
1p	14p	0	0	20	28	0.584962500721156	0
1p	15p	0	0	18	22	0.402964666978269	0
